id,semantic_ok,replay_ok,read_steps,qa_success_count,invalid_action_count,invalid_final_no_qa_count,qa_after_read,qa_unknown,last_qa_node_id,target_leaf_node_id,evidence_hit,qa_gold_support,soft_evidence_ok,total_steps,strict_keep,soft_keep
train_10,True,True,3,1,0,1,True,False,train_10_l1_0_l2_0_l3_0,train_10_l1_0_l2_0_l3_0,True,True,True,7,False,True
train_61,True,True,5,1,0,1,True,False,train_61_l1_0_l2_0_l3_1,train_61_l1_0_l2_0_l3_1,True,True,True,9,False,True
train_68,True,True,1,1,0,1,True,False,train_68_l1_0_l2_0_l3_0,train_68_l1_0_l2_0_l3_0,True,True,True,5,False,True
train_103,True,True,6,1,0,0,True,False,train_103_l1_2_l2_1_l3_2,train_103_l1_2_l2_1_l3_2,True,False,True,9,True,True
train_112,True,True,3,1,1,0,True,True,train_112_l1_1_l2_0_l3_1,train_112_l1_1_l2_0_l3_0,False,False,False,7,False,False
train_141,True,True,3,1,0,1,True,False,train_141_l1_1_l2_1_l3_2,train_141_l1_1_l2_1_l3_2,True,True,True,7,False,True
train_160,True,True,3,1,0,1,True,False,train_160_l1_1_l2_1_l3_2,train_160_l1_1_l2_1_l3_2,True,True,True,7,False,True
train_175,True,True,3,1,1,1,True,True,train_175_l1_2_l2_0_l3_0,train_175_l1_2_l2_0_l3_1,False,False,False,8,False,False
train_207,True,True,3,1,0,1,True,False,train_207_l1_5_l2_1_l3_3,train_207_l1_5_l2_1_l3_3,True,False,True,7,False,True
train_212,True,True,5,1,1,0,True,True,train_212_l1_5_l2_1_l3_4,train_212_l1_5_l2_1_l3_0,False,False,False,9,False,False
train_213,True,True,4,1,1,1,True,False,train_213_l1_5_l2_2_l3_0,train_213_l1_5_l2_2_l3_0,True,True,True,9,False,True
train_245,True,True,2,1,0,0,True,False,train_245_l1_1_l2_0_l3_2,train_245_l1_1_l2_0_l3_2,True,False,True,5,True,True
train_248,True,True,4,1,0,1,True,False,train_248_l1_2_l2_1_l3_1,train_248_l1_0_l2_1_l3_0,False,False,False,8,False,False
train_251,True,True,4,1,0,0,True,False,train_251_l1_2_l2_0_l3_0,train_251_l1_0_l2_0_l3_2,False,False,False,7,False,False
train_258,True,True,4,1,0,1,True,False,train_258_l1_4_l2_0_l3_0,train_258_l1_1_l2_1_l3_0,False,True,True,8,False,True
train_264,True,True,3,1,0,0,True,False,train_264_l1_0_l2_0_l3_3,train_264_l1_0_l2_0_l3_3,True,True,True,6,True,True
train_269,True,True,5,1,0,0,True,False,train_269_l1_1_l2_0_l3_0,train_269_l1_1_l2_0_l3_0,True,False,True,8,True,True
train_278,True,True,6,1,0,0,True,False,train_278_l1_2_l2_0_l3_0,train_278_l1_0_l2_1_l3_2,False,True,True,9,False,True
train_285,True,True,3,1,2,1,True,False,train_285_l1_0_l2_1_l3_0,train_285_l1_0_l2_3_l3_0,False,False,False,9,False,False
train_287,True,True,4,1,1,0,True,False,train_287_l1_0_l2_0_l3_0,train_287_l1_6_l2_7_l3_0,False,False,False,8,False,False
train_302,True,True,4,1,0,0,True,False,train_302_l1_1_l2_1_l3_8,train_302_l1_1_l2_6_l3_2,False,False,False,8,False,False
train_316,True,True,4,1,0,1,True,False,train_316_l1_0_l2_1_l3_0,train_316_l1_0_l2_1_l3_0,True,True,True,8,False,True
train_321,True,True,4,1,0,0,True,False,train_321_l1_1_l2_0_l3_3,train_321_l1_1_l2_0_l3_3,True,False,True,7,True,True
train_327,True,True,3,1,1,1,True,False,train_327_l1_1_l2_0_l3_3,train_327_l1_1_l2_0_l3_3,True,False,True,8,False,True
